iter	Passed	Remaining
0	68	6802
1	162	7957
2	254	8228
3	346	8321
4	440	8367
5	534	8376
6	629	8361
7	723	8320
8	816	8259
9	908	8175
10	999	8083
11	1092	8014
12	1186	7938
13	1280	7864
14	1374	7786
15	1470	7722
16	1564	7640
17	1656	7548
18	1751	7467
19	1845	7382
20	1939	7296
21	2032	7206
22	2126	7118
23	2220	7032
24	2317	6953
25	2412	6867
26	2506	6777
27	2601	6688
28	2695	6599
29	2792	6516
30	2886	6423
31	2980	6334
32	3076	6245
33	3171	6156
34	3266	6065
35	3360	5973
36	3453	5879
37	3544	5783
38	3639	5692
39	3734	5601
40	3832	5514
41	3930	5428
42	4030	5342
43	4130	5257
44	4227	5166
45	4321	5072
46	4416	4980
47	4513	4889
48	4608	4796
49	4704	4704
50	4798	4610
51	4894	4518
52	4986	4421
53	5080	4327
54	5177	4236
55	5276	4145
56	5369	4050
57	5463	3956
58	5558	3862
59	5657	3771
60	5755	3679
61	5854	3588
62	5954	3497
63	6059	3408
64	6165	3319
65	6272	3231
66	6375	3140
67	6479	3049
68	6583	2957
69	6690	2867
70	6793	2774
71	6896	2681
72	6995	2587
73	7092	2492
74	7188	2396
75	7282	2299
76	7376	2203
77	7470	2107
78	7565	2011
79	7670	1917
80	7768	1822
81	7864	1726
82	7963	1631
83	8062	1535
84	8156	1439
85	8252	1343
86	8353	1248
87	8447	1151
88	8544	1056
89	8639	959
90	8736	864
91	8834	768
92	8935	672
93	9031	576
94	9129	480
95	9224	384
96	9322	288
97	9418	192
98	9516	96
99	9612	0
