iter	MultiClass
0	1.912997513
1	1.882725941
2	1.852670699
3	1.823744555
4	1.795766157
5	1.769649849
6	1.744115514
7	1.719538044
8	1.696165497
9	1.67293566
10	1.65122256
11	1.630811324
12	1.610356592
13	1.589899099
14	1.570403184
15	1.551391311
16	1.533674916
17	1.516164029
18	1.498953054
19	1.482920378
20	1.466113985
21	1.450114765
22	1.43501865
23	1.419748934
24	1.404999807
25	1.390530808
26	1.376588912
27	1.363332076
28	1.349899127
29	1.337128028
30	1.324391971
31	1.311547835
32	1.299391604
33	1.286818128
34	1.274696171
35	1.263001495
36	1.251668168
37	1.240733818
38	1.230240981
39	1.218230445
40	1.207642608
41	1.197537036
42	1.187249109
43	1.177317143
44	1.167911076
45	1.158236402
46	1.148907773
47	1.139807436
48	1.130817855
49	1.121629626
50	1.112747332
51	1.104061399
52	1.09569387
53	1.08730568
54	1.078960838
55	1.071390452
56	1.063295302
57	1.055675271
58	1.047956754
59	1.04001628
60	1.031815632
61	1.024442491
62	1.017361003
63	1.009786351
64	1.002294424
65	0.9958039705
66	0.9888597987
67	0.9821205084
68	0.9753073205
69	0.9682448897
70	0.9612765326
71	0.9546838141
72	0.948496985
73	0.9413349463
74	0.9335759644
75	0.9267824655
76	0.9201178898
77	0.9129245428
78	0.9076327709
79	0.9012646529
80	0.895008615
81	0.8891339864
82	0.8833667138
83	0.8773179498
84	0.8718779311
85	0.8660583019
86	0.8607082622
87	0.8549147777
88	0.8497284405
89	0.8433169714
90	0.8383875069
91	0.8324675276
92	0.8270332022
93	0.8220440377
94	0.8170005245
95	0.8117916244
96	0.8068487857
97	0.801093402
98	0.7963591448
99	0.791757072
