iter	Passed	Remaining
0	31	3149
1	66	3278
2	101	3267
3	134	3234
4	169	3213
5	202	3170
6	236	3137
7	270	3106
8	303	3072
9	338	3045
10	371	3004
11	404	2967
12	439	2939
13	471	2898
14	505	2866
15	538	2829
16	572	2795
17	606	2762
18	640	2729
19	673	2692
20	706	2657
21	740	2624
22	773	2590
23	806	2555
24	840	2522
25	873	2485
26	906	2451
27	940	2418
28	973	2382
29	1007	2349
30	1041	2318
31	1073	2281
32	1107	2247
33	1137	2208
34	1170	2173
35	1205	2142
36	1236	2105
37	1269	2071
38	1302	2037
39	1336	2004
40	1370	1971
41	1403	1937
42	1437	1905
43	1469	1870
44	1502	1836
45	1534	1801
46	1567	1768
47	1599	1732
48	1632	1698
49	1663	1663
50	1695	1629
51	1729	1596
52	1761	1562
53	1795	1529
54	1827	1495
55	1860	1462
56	1891	1427
57	1924	1393
58	1957	1360
59	1987	1325
60	2019	1290
61	2049	1256
62	2082	1223
63	2114	1189
64	2146	1155
65	2179	1122
66	2210	1088
67	2244	1056
68	2275	1022
69	2305	988
70	2338	955
71	2371	922
72	2404	889
73	2434	855
74	2468	822
75	2498	788
76	2528	755
77	2561	722
78	2594	689
79	2624	656
80	2654	622
81	2688	590
82	2722	557
83	2752	524
84	2784	491
85	2815	458
86	2847	425
87	2879	392
88	2911	359
89	2944	327
90	2977	294
91	3012	261
92	3042	229
93	3076	196
94	3110	163
95	3148	131
96	3181	98
97	3216	65
98	3252	32
99	3285	0
